ticker,year_a,year_b,chunk_id_a,chunk_id_b,header_a,header_b,standard_label,cot_label,similarity,true_label
AAPL,2018,2019,AAPL_2018_chunk_00,AAPL_2019_chunk_00,"Global markets for the Company’s products and services are highly competitive and subject to rapid technological change, and the Company may be unable to compete effectively in these markets.","Global markets for the Company’s products and services are highly competitive and subject to rapid technological change, and the Company may be unable to compete effectively in these markets.",UNCHANGED,ESCALATED,0.9985,UNCHANGED
AAPL,2018,2019,AAPL_2018_chunk_01,AAPL_2019_chunk_01,"To remain competitive and stimulate customer demand, the Company must successfully manage frequent introductions and transitions of products and services.","To remain competitive and stimulate customer demand, the Company must successfully manage frequent introductions and transitions of products and services.",UNCHANGED,UNCHANGED,0.9997,UNCHANGED
AAPL,2018,2019,AAPL_2018_chunk_02,AAPL_2019_chunk_02,"The Company distributes its products through cellular network carriers, wholesalers, retailers and resellers, many of whom distribute products from competing manufacturers. The Company also sells its products and third-party products in most of its major markets directly to education, enterprise and","The Company depends on the performance of carriers, wholesalers, retailers and other resellers.",UNCHANGED,ESCALATED,0.9634,ESCALATED
AAPL,2018,2019,AAPL_2018_chunk_03,AAPL_2019_chunk_03,The Company faces substantial inventory and other asset risk in addition to purchase commitment cancellation risk.,"The Company is exposed to the risk of write-downs on the value of its inventory and other assets, in addition to purchase commitment cancellation risk.",UNCHANGED,UNCHANGED,1.0,UNCHANGED
AAPL,2018,2019,AAPL_2018_chunk_04,AAPL_2019_chunk_04,Future operating results depend upon the Company’s ability to obtain components in sufficient quantities on commercially reasonable terms.,Future operating results depend upon the Company’s ability to obtain components in sufficient quantities on commercially reasonable terms.,UNCHANGED,UNCHANGED,0.9991,UNCHANGED
AAPL,2018,2019,AAPL_2018_chunk_05,AAPL_2019_chunk_05,"The Company depends on component and product manufacturing and logistical services provided by outsourcing partners, many of which are located outside of the U.S.","The Company depends on component and product manufacturing and logistical services provided by outsourcing partners, many of which are located outside of the U.S.",ESCALATED,ESCALATED,0.9985,UNCHANGED
AAPL,2018,2019,AAPL_2018_chunk_06,AAPL_2019_chunk_06,The Company’s products and services may be affected from time to time by design and manufacturing defects that could materially adversely affect the Company’s business and result in harm to the Company’s reputation.,The Company’s products and services may be affected from time to time by design and manufacturing defects that could materially adversely affect the Company’s business and result in harm to the Company’s reputation.,UNCHANGED,ESCALATED,0.9997,UNCHANGED
AAPL,2018,2019,AAPL_2018_chunk_07,AAPL_2019_chunk_07,"The Company relies on access to third-party digital content, which may not be available to the Company on commercially reasonable terms or at all.","The Company relies on access to third-party digital content, which may not be available to the Company on commercially reasonable terms or at all.",UNCHANGED,UNCHANGED,0.9937,UNCHANGED
AAPL,2018,2019,AAPL_2018_chunk_08,AAPL_2019_chunk_08,The Company’s future performance depends in part on support from third-party software developers.,The Company’s future performance depends in part on support from third-party software developers.,UNCHANGED,ESCALATED,0.9994,UNCHANGED
AAPL,2018,2019,AAPL_2018_chunk_09,AAPL_2019_chunk_09,"The Company relies on access to third-party intellectual property, which may not be available to the Company on commercially reasonable terms or at all.","The Company relies on access to third-party intellectual property, which may not be available to the Company on commercially reasonable terms or at all.",UNCHANGED,UNCHANGED,0.9888,UNCHANGED
